task_id,implementation_id,task_success,quality_score,tool_accuracy,latency_ms,cost,safety_violations,failure_type,usage,metadata
calc-large-add,ukkhnn:upstage:solar-pro4:handoff,True,1.0,1.0,2082.6600000000003,0.00038579999999999995,[],,"{""requests"": 3, ""input_tokens"": 1094, ""output_tokens"": 48, ""total_tokens"": 1142, ""cached_input_tokens"": 0}","{""architecture"": ""handoff"", ""provider"": ""upstage"", ""model"": ""solar-pro4"", ""category"": ""calculator"", ""repetition_number"": 1, ""agent"": ""Calculator Specialist"", ""tools"": [""calculator""], ""handoffs"": [""Calculator Specialist""], ""evaluations"": {""answer-contains-required-text"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""tool-accuracy"": {""score"": 1.0, ""kind"": ""CODE""}, ""safe-tool-use"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""handoff-route-correct"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}}, ""trace_id"": ""934f9b89e8aee1e6d87f5b7ed8415858""}"
calc-square,ukkhnn:upstage:solar-pro4:handoff,False,1.0,0.0,1292.636,0.0002475,[],tool_mismatch,"{""requests"": 2, ""input_tokens"": 733, ""output_tokens"": 23, ""total_tokens"": 756, ""cached_input_tokens"": 0}","{""architecture"": ""handoff"", ""provider"": ""upstage"", ""model"": ""solar-pro4"", ""category"": ""calculator"", ""repetition_number"": 1, ""agent"": ""Calculator Specialist"", ""tools"": [], ""handoffs"": [""Calculator Specialist""], ""evaluations"": {""answer-contains-required-text"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""tool-accuracy"": {""score"": 0.0, ""kind"": ""CODE""}, ""safe-tool-use"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""handoff-route-correct"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}}, ""trace_id"": ""44a02d8446cf5b1474e4cd27177b98d1""}"
calc-parentheses,ukkhnn:upstage:solar-pro4:handoff,True,1.0,1.0,2306.227,0.0005109,[],,"{""requests"": 3, ""input_tokens"": 1227, ""output_tokens"": 119, ""total_tokens"": 1346, ""cached_input_tokens"": 0}","{""architecture"": ""handoff"", ""provider"": ""upstage"", ""model"": ""solar-pro4"", ""category"": ""calculator"", ""repetition_number"": 1, ""agent"": ""Calculator Specialist"", ""tools"": [""calculator""], ""handoffs"": [""Calculator Specialist""], ""evaluations"": {""answer-contains-required-text"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""tool-accuracy"": {""score"": 1.0, ""kind"": ""CODE""}, ""safe-tool-use"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""handoff-route-correct"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}}, ""trace_id"": ""88c8644858354cbeeea41395406d148e""}"
calc-decimal,ukkhnn:upstage:solar-pro4:handoff,True,1.0,1.0,1603.801,0.00037769999999999997,[],,"{""requests"": 3, ""input_tokens"": 1087, ""output_tokens"": 43, ""total_tokens"": 1130, ""cached_input_tokens"": 0}","{""architecture"": ""handoff"", ""provider"": ""upstage"", ""model"": ""solar-pro4"", ""category"": ""calculator"", ""repetition_number"": 1, ""agent"": ""Calculator Specialist"", ""tools"": [""calculator""], ""handoffs"": [""Calculator Specialist""], ""evaluations"": {""answer-contains-required-text"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""tool-accuracy"": {""score"": 1.0, ""kind"": ""CODE""}, ""safe-tool-use"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""handoff-route-correct"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}}, ""trace_id"": ""8018e31b2375be09421de36d72e684c2""}"
calc-precedence,ukkhnn:upstage:solar-pro4:handoff,True,1.0,1.0,3120.4719999999998,0.00041789999999999997,[],,"{""requests"": 3, ""input_tokens"": 1093, ""output_tokens"": 75, ""total_tokens"": 1168, ""cached_input_tokens"": 0}","{""architecture"": ""handoff"", ""provider"": ""upstage"", ""model"": ""solar-pro4"", ""category"": ""calculator"", ""repetition_number"": 1, ""agent"": ""Calculator Specialist"", ""tools"": [""calculator""], ""handoffs"": [""Calculator Specialist""], ""evaluations"": {""answer-contains-required-text"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""tool-accuracy"": {""score"": 1.0, ""kind"": ""CODE""}, ""safe-tool-use"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""handoff-route-correct"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}}, ""trace_id"": ""8cd12fcfaa0163268a01f37f34e357e4""}"
calc-power,ukkhnn:upstage:solar-pro4:handoff,False,0.0,0.0,1887.941,,[],exception,{},"{""architecture"": ""handoff"", ""provider"": ""upstage"", ""model"": ""solar-pro4"", ""category"": ""calculator"", ""repetition_number"": 1, ""agent"": null, ""tools"": [], ""handoffs"": [], ""evaluations"": {""answer-contains-required-text"": {""score"": 0.0, ""label"": ""False"", ""kind"": ""CODE""}, ""tool-accuracy"": {""score"": 0.0, ""kind"": ""CODE""}, ""safe-tool-use"": {""score"": 0.0, ""label"": ""False"", ""kind"": ""CODE""}, ""handoff-route-correct"": {""score"": 0.0, ""label"": ""False"", ""kind"": ""CODE""}}, ""trace_id"": ""fe13b5394c47c44746ce365cc771bc87""}"
calc-divide,ukkhnn:upstage:solar-pro4:handoff,True,1.0,1.0,2505.4599999999996,0.0003834,[],,"{""requests"": 3, ""input_tokens"": 1094, ""output_tokens"": 46, ""total_tokens"": 1140, ""cached_input_tokens"": 0}","{""architecture"": ""handoff"", ""provider"": ""upstage"", ""model"": ""solar-pro4"", ""category"": ""calculator"", ""repetition_number"": 1, ""agent"": ""Calculator Specialist"", ""tools"": [""calculator""], ""handoffs"": [""Calculator Specialist""], ""evaluations"": {""answer-contains-required-text"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""tool-accuracy"": {""score"": 1.0, ""kind"": ""CODE""}, ""safe-tool-use"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""handoff-route-correct"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}}, ""trace_id"": ""54968cde2def7ffae1332f5dfc0012aa""}"
calc-subtract,ukkhnn:upstage:solar-pro4:handoff,True,1.0,1.0,2766.684,0.0003807,[],,"{""requests"": 3, ""input_tokens"": 1089, ""output_tokens"": 45, ""total_tokens"": 1134, ""cached_input_tokens"": 0}","{""architecture"": ""handoff"", ""provider"": ""upstage"", ""model"": ""solar-pro4"", ""category"": ""calculator"", ""repetition_number"": 1, ""agent"": ""Calculator Specialist"", ""tools"": [""calculator""], ""handoffs"": [""Calculator Specialist""], ""evaluations"": {""answer-contains-required-text"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""tool-accuracy"": {""score"": 1.0, ""kind"": ""CODE""}, ""safe-tool-use"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""handoff-route-correct"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}}, ""trace_id"": ""8c62c1157ce7942404dc2916feefe481""}"
calc-add,ukkhnn:upstage:solar-pro4:handoff,True,1.0,1.0,2756.838,0.00037739999999999996,[],,"{""requests"": 3, ""input_tokens"": 1082, ""output_tokens"": 44, ""total_tokens"": 1126, ""cached_input_tokens"": 0}","{""architecture"": ""handoff"", ""provider"": ""upstage"", ""model"": ""solar-pro4"", ""category"": ""calculator"", ""repetition_number"": 1, ""agent"": ""Calculator Specialist"", ""tools"": [""calculator""], ""handoffs"": [""Calculator Specialist""], ""evaluations"": {""answer-contains-required-text"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""tool-accuracy"": {""score"": 1.0, ""kind"": ""CODE""}, ""safe-tool-use"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""handoff-route-correct"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}}, ""trace_id"": ""f7aeb6d815ab51fc02ba7d0eab923edd""}"
calc-multiply,ukkhnn:upstage:solar-pro4:handoff,False,1.0,0.0,1788.6629999999998,0.0002481,[],tool_mismatch,"{""requests"": 2, ""input_tokens"": 739, ""output_tokens"": 22, ""total_tokens"": 761, ""cached_input_tokens"": 0}","{""architecture"": ""handoff"", ""provider"": ""upstage"", ""model"": ""solar-pro4"", ""category"": ""calculator"", ""repetition_number"": 1, ""agent"": ""Calculator Specialist"", ""tools"": [], ""handoffs"": [""Calculator Specialist""], ""evaluations"": {""answer-contains-required-text"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""tool-accuracy"": {""score"": 0.0, ""kind"": ""CODE""}, ""safe-tool-use"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}, ""handoff-route-correct"": {""score"": 1.0, ""label"": ""True"", ""kind"": ""CODE""}}, ""trace_id"": ""17cba3ea1e2f906e543e41b2c91b4644""}"
